OBJECTID,ADDRESS,OWNER1,OWNER2,BLDG_DESC,OPA_ID,LNIADDRESSKEY,COUNCILDISTRICT,ZONINGBASEDISTRICT,ZIPCODE,LAND_RANK,Shape__Area,Shape__Length
3374,3125 MORSE ST,NORRIS STREET PARTNERS LL,,VAC LAND RES < ACRE,323008700,440065,5,RSA-5,19121,0.5,101.86328125,46.611815785668
3375,1600-08 W YORK ST,ATM INVESTMENT LLC       ,,VAC LAND IND < ACRE,885929760,629202,5,RM-1,19132,0.5,930.76171875,122.511368752168
3376,4358R GERMANTOWN AVE,CITY OF PHILA,,VAC LAND RES < ACRE,131131405,309870,8,SP-PO-A,19140,0.5,127.90234375,61.7285970754561
3377,3037 AMBER ST,ZIMMERMAN ELEANOR,,VAC LAND RES < ACRE,252439500,14063,1,RSA-5,19134,0.5,119.375,52.1235765711841
3378,2181 BRIDGE ST,SUSAN FLEISHMAN          ,,VACANT LAND BILLBOARD,874514470,47998,7,RSA-5,19124,0.5,183.63671875,65.6760967183258
3379,5117 GREENE ST,HERNANTINI GROUP LTD     ,,VAC LAND RES < ACRE,123154100,324837,8,RSA-3,19144,0.67,289.0703125,74.767018160842
3380,215 GREENWICH ST,BURKE DENNIS             ,,VAC LAND RES < ACRE,011033715,325792,1,RSA-5,19147,0.67,109.859375,59.3242915800527
3381,1342 S LAMBERT ST,OBUZ OZLEM,,VAC LAND RES < ACRE,361199300,376845,2,CMX-2,19146,0.67,112.69140625,51.7378546382655
3382,325 E TUSCULUM ST,STANDARD DEVELOPMENT LLC ,,VAC LAND RES < ACRE,071194100,580312,7,RM-1,19134,0.67,83.98828125,41.5213690405909
3383,1519 W STILES ST,ROBINSON GEORGIA MAE     ,INDIV +  COATES M M      ,VAC LAND RES < ACRE,471043600,554935,5,RM-1,19121,0.5,165.96875,64.9507263771048
3384,3217 CLIFFORD ST,BRENDA WILKINSON         ,,VAC LAND RES < ACRE,324070100,90949,5,RSA-5,19121,0.5,231.26953125,85.3456772734817
3385,3914 FOLSOM ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,VAC LAND RES < ACRE,243055210,293687,3,RSA-5,19104,1,152.44921875,63.0732839936257
3386,1310 N MARSTON ST,LAWRENCE STEVEN          ,,VAC LAND RES < ACRE,885357420,415428,5,RSA-5,19121,0.83,107.8203125,50.8746529221411
3387,3254 GERMANTOWN AVE,GERMANTOWN LIBERTY ACQUIS,,VAC LAND COMM. < ACRE,885508220,309568,5,CMX-2,19140,0.67,219.375,79.9187010824146
3388,2350 N 12TH ST,HENRY LESSE              ,ARDIE P LEESE            ,VAC LAND RES < ACRE,371233800,654006,5,RM-1,19133,0.5,137.20703125,59.5262949306423
3389,1532 S 7TH ST,V2 PROPERTIES ENTITY 6 LL,,VAC LAND RES < ACRE,012075700,644239,1,RSA-5,19147,0.67,142.328125,66.1066688967056
3390,211 N 60TH ST,WC ENTERPRISE LLC        ,,VAC LAND RES < ACRE,042268210,699485,4,RSA-5,19139,0.67,171.7109375,68.0178445137771
3391,2713 FEDERAL ST,CHAU DAVID T             ,,VAC LAND IND < ACRE,885400680,287772,2,I-2,19146,0.67,106.109375,48.381186810964
3392,1203 N TAYLOR ST,PHILA HOUSING AUTHORITY,,VAC LAND RES < ACRE,291320610,565731,5,RM-1,19121,1,118.984375,50.0379404956249
3393,5022 KNOX ST,COLEMAN JO ANN GIBSON,,VAC LAND RES < ACRE,123187300,374892,8,RSA-3,19144,0.67,432.31640625,107.325813974965
3394,2235 SEYBERT ST,PHILA HOUSING AUTHORITY,,VAC LAND RES < ACRE,291068910,531262,5,RM-1,19121,1,113.88671875,51.6274582353828
3395,2780-84 EMERALD ST,ALOISE ADAM              ,,VAC LAND RES < ACRE,252505000,136007,7,RSA-5,19134,0.5,312.8515625,72.7585464610677
3396,3333 MALTA ST,WHEELER ELISABETH        ,,ROW 2 STY MASONRY,331375200,407192,7,RSA-5,19134,0.67,95.0625,45.1103198690731
3397,3380 MILLER ST,HUGHES COUSINS LLC       ,,VAC LAND IND < ACRE,451357000,431756,1,ICMX,19134,0.67,147.06640625,59.7975949897952
3398,2318 N 17TH ST,LADA PROPERTIES LLC      ,,VAC LAND RES < ACRE,161165700,663095,5,RSA-5,19132,0.5,171.16796875,66.1860584234341
3399,3347 MILLER ST,KLUSKA JUDITH            ,,VAC LAND RES < ACRE,451345400,431747,1,RSA-5,19134,0.67,140.390625,59.4188467800903
3400,5621 WOODLAND AVE,GRANT ESTATE LLC         ,,VAC LAND COMM. < ACRE,885944190,623078,3,CMX-2,19143,0.5,295.2578125,90.7796396848949
3401,5418 RIDGEWOOD ST,CITY OF PHILA,DEPT PUB PROP,VAC LAND RES < ACRE,513248310,505661,3,RSA-5,19143,0.5,171.421875,67.4254244966402
3402,2711 ANNIN ST,GREYS FERRY 09 LLC       ,,VAC LAND IND < ACRE,362012200,17660,2,I-2,19146,0.67,83.19921875,41.088391375827
3403,2614 N 29TH ST,LASHLEY GLADYS E         ,,VAC LAND RES < ACRE,282011800,682297,5,RSA-5,19132,1,168.3984375,67.4896520108514
3404,1846 N ETTING ST,PHILA HOUSING AUTHORITY  ,,VAC LAND RES < ACRE,323183601,139717,5,RSA-5,19121,0.5,94.7890625,44.4337871548397
3405,4168 PAUL ST,TAYLOR EMMA,,VAC LAND RES < ACRE,232511800,474333,7,RM-1,19124,0.5,209.37109375,89.5393222197978
3406,150 N 54TH ST,GEENA LLC                ,,VAC LAND RES < ACRE,041100400,693526,4,RSA-5,19139,1,136.72265625,57.0076408648011
3407,2339 N 15TH ST,CITY OF PHILA            ,DEPT OF PUBLC PROP       ,VAC LAND RES < ACRE,161026425,658211,5,RM-1,19132,0.5,234.46875,83.0290387176826
3408,4955 W GIRARD AVE,CITY OF PHILA,DEPT OF PUBLC PROP,VAC LAND RES < ACRE,442082910,314580,3,RM-1,19131,1,231.76953125,86.0886827265145
3409,633 N 53RD ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,VAC LAND RES < ACRE,442316810,692727,3,ICMX,19131,1,154.1484375,65.5472471558148
3410,2506 S 82ND ST,NEW EASTWICK CORP,,VAC LAND RES < ACRE,405818503,708970,2,RM-1,19153,0.67,322.421875,91.5084486344
3411,2533 N 19TH ST,PHILADELPHIA LAND INVESTM,,VAC LAND RES < ACRE,162081000,668305,5,RSA-5,19132,0.67,161.98046875,65.3720981542643
3412,212 DIAMOND ST,212 DIAMOND LLC          ,,VAC LAND IND < ACRE,885976380,116225,7,ICMX,19122,0.5,2249.28515625,222.350104049652
3413,3309 N 17TH ST,ZILBERMAN EUGENE,,VAC LAND RES < ACRE,112223300,663400,8,RSA-3,19140,0.67,310.0546875,95.8764520643612
3414,6147 OSCEOLA ST,DD INVESTMENTS LLC       ,,VAC LAND RES < ACRE,592198440,464986,8,RSA-5,19144,0.67,488.42578125,115.804301355857
3415,2550 N DOVER ST,JASHER LLC               ,,VAC LAND RES < ACRE,281156200,123039,5,RSA-5,19132,0.67,111.078125,50.6982410577609
3416,5743 WOODLAND AVE,KELSEY THERESA M         ,,VAC LAND COMM. < ACRE,885855500,623112,2,CMX-2,19143,0.5,207.3125,78.0853748985653
3417,2439 E HUNTINGDON ST,PROZOROV ALEKSADR        ,,VAC LAND RES < ACRE,314161200,353562,1,RSA-5,19125,0.83,241.5546875,91.6040239462576
3418,2612 N 6TH ST,DORADO NIEGH DEV CORP    ,,VAC LAND RES < ACRE,371038100,639544,5,RM-1,19133,1,162.40234375,64.6970743292744
3419,124 POLLARD ST,124 POLLARD ST LP        ,,VAC LAND RES < ACRE,057176800,765205|766194,1,RSA-5,19123,0.5,174.1796875,59.7438788841193
3420,456 W GLENWOOD AVE,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,193256801,317839,7,RM-1,19140,0.67,116.390625,57.8328278812044
3421,3832 MELON ST,CITY OF PHILA,,VAC LAND RES < ACRE,242109810,425802,3,RSA-5,19104,0.67,143.28515625,59.515414616096
3422,1017 W ARIZONA ST,ANTIQUE REALTY CO        ,,VAC LAND RES < ACRE,371352300,730188,5,RM-1,19133,1,122.83203125,58.0600424010508
3423,623 N 44TH ST,OURSOURCE REAL ESTATE LLC,,VAC LAND RES < ACRE,061294100,687593,3,RM-1,19104,1,210.02734375,76.2172435306724
3424,2232 N 3RD ST,PHILA HOUSING AUTHORITY  ,,VAC LAND RES < ACRE,191181901,632565,7,RSA-5,19133,1,137.09765625,56.9939492222776
3425,4912 WOODLAND AVE,MT ZION BAPTIST CHURCH   ,,VAC LAND RES < ACRE,885622400,622905,3,RM-1,19143,0.5,288.015625,100.583494396494
3426,444 E AUBURN ST,BUGG + ASSOCIATES,,VAC LAND RES < ACRE,071208600,24853,7,RSA-5,19134,0.67,160.40625,69.0026176202917
3427,3248 N 6TH ST,COLON MARCIAL            ,,VAC LAND RES < ACRE,372013000,639767,5,RM-1,19140,0.5,198.00390625,76.4762558210227
3428,1309 N 24TH ST,PHILA HOUSING AUTHORITY,,VAC LAND RES < ACRE,291310600,676494,5,CMX-2,19121,1,143.8125,62.0054392787684
3429,4507 N 20TH ST,WHITTINGTON VIOLA,,VAC LAND RES < ACRE,132228700,670502,8,RM-1,19140,0.67,211.92578125,79.576246483613
3430,1609 W TIOGA ST,SHEN JENNIFER LEE,,VAC LAND RES < ACRE,112098500,573003,8,RSA-5,19140,1,411.0859375,108.493040171537
3431,1859 N ETTING ST,PRIME MINISTER NORTH LLC ,,VAC LAND RES < ACRE,323178500,139730,5,RSA-5,19121,0.67,93.22265625,44.8477123591276
3432,1831 CHURCH ST,IFILL CHRISTOPHER WILLIAM,,VAC LAND COMM. < ACRE,885296600,86054,7,RM-1,19124,0.5,374.12109375,105.999958427288
3433,2237 N 33RD ST,CRUD LLC,,VAC LAND RES < ACRE,282236300,684787,5,RM-1,19132,0.67,255.86328125,92.4903509952962
3434,1842 WEBSTER ST,PINE VALLEY REALTY,,VAC LAND RES < ACRE,301162100,604275,2,RSA-5,19146,0.5,70.3671875,36.1233488950228
3435,134 W HUNTINGDON ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,192303101,731784,7,CMX-1,19133,0.67,169.84375,61.3922346654202
3436,2341 N 21ST ST,PHILA HOUSING AUTHORITY,,VAC LAND RES < ACRE,162179901,672328,5,RSA-5,19132,1,198.64453125,75.8927332455265
3437,2826 N MARVINE ST,VELEZ CESAR ROGERIO      ,,VAC LAND RES < ACRE,372246200,416842,5,RM-1,19133,0.67,241.28515625,76.1700430708897
3438,2124 N RANDOLPH ST,BOOKER T WASHINGTON      ,BERNICE                  ,VAC LAND RES < ACRE,191343000,494841,7,RSA-5,19122,0.5,99.83203125,48.6551018829576
3439,2807 GERMANTOWN AVE,CITY OF PHILA            ,DEPT PUB PROP            ,VAC LAND COMM. < ACRE,885445300,309411,5,CMX-2,19133,0.67,142.890625,60.0268081056815
3440,7968 CASTOR AVE,PATEL MANISH N           ,,VAC LAND RES < ACRE,561209100,69147,10,RSA-3,19152,0.5,1047.91015625,136.067931043706
3441,419 N 50TH ST,KENAN LLC                ,,VAC LAND RES < ACRE,441336500,690046,3,RSA-5,19139,0.83,176.9609375,69.1451259328854
3442,2424 N 19TH ST,BARNETT JOHN             ,BARNETT ANNIE            ,VAC LAND RES < ACRE,162090000,668232,5,RSA-5,19132,1,173.36328125,67.1203819399165
3443,2316 W TIOGA ST,CITY OF PHILA,DEPT OF PUBLC PROP,VAC LAND RES < ACRE,112093900,573165,8,RSA-5,19140,1,232.921875,88.4110032742478
3444,841 E MADISON ST,19134 LLC                ,,VAC LAND RES < ACRE,331075200,405205,7,RSA-5,19134,0.83,108.41015625,50.0694363004768
3445,1851 N 19TH ST,PHILA HOUSING AUTHORITY,,VAC LAND RES < ACRE,321254701,667959,5,RSA-5,19121,0.5,170.484375,64.1744868818244
3446,311 W SUSQUEHANNA AVE,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,885226080,558903,7,RSA-5,19122,0.5,238.09375,84.8995842020664
3447,3514 N 22ND ST,WIZARD REALTY LLC        ,,VAC LAND RES < ACRE,112311800,674444,8,RSA-3,19140,0.67,830.92578125,146.695167622424
3448,2124 N 31ST ST,REDEVELOPMENT AUTHORITY,OF PHILA,VAC LAND RES < ACRE,323296701,683603,5,RM-1,19121,0.5,127.94140625,56.4330874807792
3449,5032 OGDEN ST,CGB 2001 LLC             ,,VAC LAND RES < ACRE,442012600,456668,3,RSA-5,19139,0.83,121.1640625,55.529690350442
3450,738 BROOKLYN ST,PHILA HOUSING AUTHORITY  ,,VAC LAND RES < ACRE,061270810,52476,3,RM-1,19104,1,212.71875,78.1706624044908
3451,2532 W DAKOTA ST,VANGUARD SAVINGS         ,LOAN ASSOC               ,VAC LAND RES < ACRE,281204300,107506,5,RSA-5,19132,0.5,96.12890625,45.9229552095819
3452,19 N 50TH ST,KENAN LLC                ,,SEMI/DET 3 STY MASONRY,441056400,689942,3,RTA-1,19139,0.67,397.27734375,105.555017129168
3453,1432 N MARSTON ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,292081700,415484,5,RSA-5,19121,0.67,110.96875,50.7024357277138
3454,2338 N VAN PELT ST,JAMES T JONES,WAVERLY T HARDY,VAC LAND RES < ACRE,162199500,586370,5,RSA-5,19132,0.5,111.87890625,51.1997701080135
3455,2411 W MONTGOMERY AVE,CITY OF PHILA,,VAC LAND RES < ACRE,322214301,435918,5,RSA-5,19121,1,179.90234375,71.3624552543067
3456,5559 LOCUST ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,604053500,398573,3,RM-1,19139,1,190.578125,72.8879673723668
3457,2141 N FAIRHILL ST,GERALD JENSON            ,,VAC LAND RES < ACRE,191347000,730639,7,RSA-5,19122,0.5,108.3359375,49.4239784643411
3458,2156 N 9TH ST,ZAHAV CAPITAL GROUP LLC  ,,VAC LAND RES < ACRE,202168600,647538,5,RM-1,19122,1,123.08203125,55.2910810650785
3459,3322 WHARTON ST,ALLEN MYER C,ALLEN JOHN,VAC LAND RES < ACRE,362227200,610613,2,RM-1,19146,0.5,43.71484375,51.8735562487568
3460,2529 MUTTER ST,DELGADO GLADYS           ,,VAC LAND RES < ACRE,192041201,444440,7,RM-1,19133,0.5,105.328125,44.354419455968
3461,2500 S 82ND ST,NEW EASTWICK CORP,,VAC LAND RES < ACRE,405818500,708967,2,RM-1,19153,0.67,398.2890625,93.8716081305225
3462,1400 N FRANKLIN ST,PHILADELPHIA HOUSING AUTH,,VAC LAND RES < ACRE,202054301,298972,5,RSA-5,19122,0.5,154.7109375,59.8195143895027
3463,3007 MILLER ST,PHILLY RISE LLC          ,,VAC LAND RES < ACRE,251358600,431570,1,RSA-5,19134,0.67,328.41796875,83.2487239625969
3464,230 E STELLA ST,CRUZ PEREZ RAYMOND M     ,,VAC LAND RES < ACRE,071255900,552550,7,RSA-5,19134,0.5,96.71875,45.9222143235206
3465,6070 REINHARD ST,ITICOVICI C JAEL         ,,VAC LAND RES < ACRE,401282100,500497,2,RSA-5,19142,1,157.28515625,60.9689173164179
3466,2932 N BONSALL ST,LEANIER LA FRANCE M,TRUSTEE,VAC LAND RES < ACRE,111403500,42641,8,RSA-5,19132,0.67,97.4609375,46.0793595176184
3467,4553 RISING SUN AVE,RENES TECH LLC           ,,VAC LAND COMM. < ACRE,885496280,507372,7,CMX-2,19140,0.67,336.00390625,99.5774013739208
3468,3306 N 16TH ST,MALGRAM JONES,CONSTANCE,VAC LAND RES < ACRE,112201700,660788,8,RSA-5,19140,0.67,275.2421875,98.2864262718861
3469,6916 GROSBEAK PL,PHILADELPHIA REDEVELOPMEN,,ROW B/GAR 2STY MASONRY,406588000,327165,2,RM-1,19142,0.5,401.02734375,93.539148872869
3470,2026 S 61ST ST,LOOKING GLASS ASSOCS     ,,VAC LAND RES < ACRE,401146900,701249,2,RSA-5,19142,1,167.75,65.3683139728804
3471,1702 FOULKROD ST,RACHUBA ANTHONY S JR,RACHUBA DEBORAH G,VAC LAND RES < ACRE,232173200,296026,7,RSA-5,19124,0.5,332.18359375,99.8955357805662
3472,1517 N MARSTON ST,1515-1517 N MARSTON LLC  ,,VAC LAND RES < ACRE,292076100,415519,5,RSA-5,19121,0.5,139.55859375,60.9160651433651
3473,2215 W VENANGO ST,COOKLEY THELMA,,VAC LAND RES < ACRE,131015800,587946,8,RM-1,19140,0.67,891.84765625,199.389407261106
3474,4410 GERMANTOWN AVE,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,VAC LAND RES < ACRE,131133205,309887,8,CMX-2,19140,0.67,336.43359375,108.228913360529
3475,5616 BEAUMONT ST,IVEY WILBERT E,,VAC LAND RES < ACRE,513289000,31910,3,RSA-5,19143,0.5,147.328125,57.9071456544432
3476,918 S 17TH ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,VAC LAND RES < ACRE,301334910,664340,2,SP-PO-A,19146,0.5,161.4609375,63.5549232415829
3477,2144 N FRANKLIN ST,PHILA HOUSING AUTHORITY,,VAC LAND RES < ACRE,202073301,299271,5,RM-1,19122,1,159.13671875,66.963291289139
3478,2437 INGERSOLL ST,PHILA HOUSING AUTHORITY,,VAC LAND RES < ACRE,291089810,357248,5,RSA-5,19121,1,88.53125,44.6434828784012
3479,2044 TITAN ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,361103115,573582,2,RSA-5,19146,0.67,118.78515625,53.2784698931293
3480,5422 ADDISON ST,DEE VAAR LLC             ,,VAC LAND RES < ACRE,603115100,3338,3,RSA-5,19143,0.5,160.48046875,75.530254949857
3481,6104 N BEECHWOOD ST,PARKS JAMES              ,,VAC LAND RES < ACRE,172518400,32355,8,RSA-5,19138,0.5,295.99609375,87.4988254431397
3482,438 W NORRIS ST,ROSALIND FOSTER,,VAC LAND RES < ACRE,183200500,452225,7,RM-1,19122,1,137.921875,58.0702610628988
3483,1938 N UBER ST,CITY OF PHILA,DEPT OF PUBLC PROP,VAC LAND RES < ACRE,321279201,581646,5,RSA-5,19121,1,129.39453125,58.8114939673729
3484,2421 N SYDENHAM ST,CITY OF PHILA            ,DEPT PUBLIC PROP R E DIV ,VAC LAND RES < ACRE,161064301,560068,5,RSA-5,19132,0.5,112.80078125,57.217331660014
3485,1009 S 9TH ST,ESPOSITO ROBERT A        ,ESPOSITO LOUIS A         ,VAC LAND COMM. < ACRE,885813780,648841,1,CMX-2,19147,0.67,184.3515625,65.4384474690353
3486,3412 N 17TH ST,CITY OF PHILA,DEPT OF PUBLIC PROP,VAC LAND RES < ACRE,112234300,663451,8,RSA-5,19140,0.67,329.1796875,106.090160208243
3487,2718 A ST,WILLIAM E JANTZEN,ELLEN,VAC LAND RES < ACRE,071361600,1040,7,RSA-5,19134,1,205.109375,76.0296695665606
3488,362 E INDIANA AVE,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,071239910,356412,7,RM-1,19134,0.67,139.203125,60.7354002455869
3489,712 W YORK ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,371356101,629078,5,RM-1,19133,1,235.9765625,81.9902071251928
3490,258 E SHARPNACK ST,EVERETT DIANE,,VAC LAND RES < ACRE,221111300,532018,8,RSA-5,19119,0.67,451.953125,113.032509309659
3491,456 N 52ND ST,SOILED LLC               ,,VAC LAND COMM. < ACRE,885527280,691509,3,CMX-1,19139,0.67,257.421875,91.2728702808347
3492,2151 N FAIRHILL ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,191347501,730649,7,RSA-5,19122,0.5,105.9453125,49.2494221997742
3493,3069 AMBER ST,MORRIS ALBERT,,VAC LAND RES < ACRE,252440800,14092,1,RSA-5,19134,0.5,97.43359375,45.0432776588399
3494,2530 AMBER ST,ONEILL DANIEL J          ,MALIMBAN MICHELLE A      ,VAC LAND RES < ACRE,311129100,13922,1,RSA-5,19125,0.67,132.68359375,50.303801709582
3495,2122 N 32ND ST,SPD INVESTMENTS LLC      ,,VAC LAND RES < ACRE,323327001,684229,5,RSA-5,19121,0.83,159.41015625,65.0895949623308
3496,2318 N OPAL ST,HICKS ERVIN,HICKS MAGGIE,VAC LAND RES < ACRE,162124400,460263,5,RSA-5,19132,0.67,112.60546875,50.9328550868671
3497,1915R N 5TH ST,BLUME RLTY CORP,,VAC LAND RES < ACRE,183412800,636522,7,RSA-5,19122,0.5,171.95703125,61.0360057484057
3498,5238 HARLAN ST,DERRICK WADE,,VAC LAND RES < ACRE,442172700,332869,3,RM-1,19131,0.5,161.125,67.7254366554282
3499,194 W MONMOUTH ST,ERSHI REAL ESTATE HOLDING,,VAC LAND RES < ACRE,071005900,434644,7,RM-1,19133,0.67,99.0703125,45.2032863143522
3500,3933 POWELTON AVE,42ND MARKET ASSOCIATES LL,,VAC LAND RES < ACRE,241154600,488934,3,RM-1,19104,0.67,226.5625,79.1021656474104
3501,1020-26 S 48TH ST,SQUIRRELL HILL REALTY CO,,VAC LAND RES < ACRE,461221900,689408,3,RSA-3,19143,0.5,602.91796875,98.2583220557571
3502,1963 N CROSKEY ST,KOUAI LYCHOU             ,,VAC LAND RES < ACRE,322101801,104005,5,RSA-5,19121,0.5,111.828125,55.1100522896064
3503,4227 OTTER ST,CITY OF PHILA,,VAC LAND RES < ACRE,062134710,465039,3,RSA-3,19104,0.67,272.61328125,78.0953885676799
3504,2613 ROBERTS AVE,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,382042700,511578,4,RSA-5,19129,0.83,137.82421875,60.6455494734508
3505,424 N DAGGETT ST,REDEVELOPMENT AUTHORITY O,,VAC LAND RES < ACRE,343129300,107256,4,RM-1,19151,0.67,237.921875,91.9524896705359
3506,2610 W ARIZONA ST,TRAN JERRY               ,,VAC LAND RES < ACRE,281231200,20847,5,RSA-5,19132,0.5,92.96875,45.6293722751618
3507,2308 N 12TH ST,JAMES E CLARK-MABEL B,,VAC LAND RES < ACRE,371231700,653985,5,RM-1,19133,0.83,148.54296875,60.1753432288164
3508,2422 N DELHI ST,BRISTOL CHARLES L JR     ,,VAC LAND RES < ACRE,371143101,730545,5,RM-1,19133,1,100.65625,46.8594444923531
3509,405 S 41ST ST,SIMON ASSOCIATES_LIMITED,,VAC LAND RES < ACRE,271187300,686779,3,RTA-1,19104,0.5,588.234375,131.432452253332
3510,2636 N 11TH ST,T&H PROPERTY MANAGEMENT I,,VAC LAND RES < ACRE,371198100,733057,5,RM-1,19133,1,182.27734375,68.9039913641191
3511,1830 W WILT ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,VAC LAND RES < ACRE,321124201,615924,5,RSA-5,19121,0.5,86.15234375,43.7267686562146
3512,1036 W STELLA ST,CITY OF PHILA            ,,VAC LAND RES < ACRE,372408101,552815,5,RM-1,19133,0.67,96.79296875,46.7096613905488
3513,2632 ANNIN ST,AUTO SOURCE EXPORT INC,,VAC LAND RES < ACRE,362018600,17645,2,RM-1,19146,1,82.109375,41.0005146896679
3514,874 N PRESTON ST,REDEVELOPMENT AUTHORITY,OF PHILA,VAC LAND RES < ACRE,062241600,489966,3,RSA-3,19104,1,196.0625,64.1722957598375
3515,2325 N PARK AVE,HENRY E THOMAS           ,,VAC LAND RES < ACRE,371284600,469971,5,RM-1,19132,0.5,258.22265625,97.2088729413655
3516,2540 N ALDER ST,PHILADELPHIA HOUSING     ,DEVELOPMENT CORPORATION  ,VAC LAND RES < ACRE,371173701,730141,5,RM-1,19133,0.67,118.08203125,51.0501820361632
3517,2333 N VAN PELT ST,GALERON CONSULTING LLC   ,,VAC LAND RES < ACRE,162192700,586365,5,RSA-5,19132,0.5,131.96875,52.818248029733
3518,2326 N VAN PELT ST,BCM INVESTMENTS LLC      ,,VAC LAND RES < ACRE,162198900,586358,5,RSA-5,19132,0.5,105.8984375,50.6034240182308
3519,701 N FRONT ST,VMDT PARTNERSHIP         ,,PARKING LOT PRIVATE,885992360,302503,1,CMX-3,19123,0.5,180.171875,63.6939709819614
3520,2669 DEACON ST,LARRY SMITH,,VAC LAND RES < ACRE,382054000,111192,4,RSA-5,19129,0.67,115.7265625,51.8357611008937
3521,4053 CAMBRIDGE ST,GEENA LLC                ,,VAC LAND RES < ACRE,062161400,63432,3,RSA-5,19104,0.5,221.71875,87.2757014894193
3522,2500 S 2ND ST,TECCE ANTONIO            ,TECCE ANGELA             ,VAC LAND RES < ACRE,391287500,631885,1,RSA-5,19148,0.67,138.16796875,56.8025193100056
3523,2319 TURNER ST,TURNER 6IX LLC           ,,VAC LAND RES < ACRE,291240400,579938,5,RM-1,19121,0.5,125.328125,58.0991221589091
3524,2005 RICHMOND ST,COLUMBUS BLVD ASSOC      ,,VAC LAND INDUS. ACRE+,885049010,754242,1,CMX-3,19125,0.67,13308.66015625,506.974955616872
3525,2204 INGERSOLL ST,PHILA HOUSING AUTHORITY,,VAC LAND RES < ACRE,291076710,357168,5,RM-1,19121,1,146.8515625,59.9520206330451
3526,9334 BUSTLETON AVE,CHAMPION DEVELOPMENT CORP,,VAC LAND RES < ACRE,562384248,754618,10,RSA-3,19115,0.67,661.01953125,129.138670655253
3527,2019 E DAUPHIN ST,LUSARDI ARIELLE          ,KANIPER SCOTT            ,VAC LAND RES < ACRE,313082601,109988,7,RSA-5,19125,0.5,170.8671875,81.9305469870633
3528,9330 BUSTLETON AVE,CHAMPION DEVELOPMENT CORP,,VAC LAND RES < ACRE,562384244,754616,10,RSA-3,19115,0.67,661.01171875,129.138883929183
3529,2913 PALETHORP ST,PADILLA LUIS,,VAC LAND RES < ACRE,071151300,468605,7,RM-1,19133,0.67,108.00390625,50.846418841701
3530,3122 W WILT ST,REECE & RILEY LLC        ,,VAC LAND RES < ACRE,323010800,615957,5,RSA-5,19121,0.5,104.4921875,47.3867748263024
3531,917 N 48TH ST,KURT PROPERTIES LLC      ,,VAC LAND RES < ACRE,062430400,689158,3,RM-1,19131,0.83,296.6875,105.717565848048
3532,2101 W STELLA ST,HENRY EASLEY             ,EVELYN                   ,VAC LAND RES < ACRE,111061100,552891,8,RSA-5,19132,0.67,118.796875,51.5177541356285
3533,301 W SUSQUEHANNA AVE,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,191399300,558893,7,RSA-5,19122,1,261.75390625,86.3553659181063
3534,1822 EARP ST,DUENAS LYNNETTE          ,DUENAS VICTOR H          ,ROW 3 STY MASONRY,361129500,128366,2,RSA-5,19146,0.5,95.3203125,44.1697352064373
3535,2411 N 10TH ST,PHILADELPHIA HOUSING AUTH,,VAC LAND RES < ACRE,371159701,732877,5,RM-1,19133,0.5,231.265625,84.0951172745608
3536,2221 PAGE ST,CITY OF PHILA,DEPT OF PUBLIC PROP,VAC LAND RES < ACRE,322257501,467899,5,RSA-5,19121,0.5,158.2734375,62.9103334598831
3537,2738 HELEN ST,2738 HELEN STREET LLC    ,,VAC LAND RES < ACRE,252518500,339556,7,RSA-5,19134,0.5,77.6484375,39.9532282057371
3538,5540 DEVON ST,ASHFORD HOWARD           ,,VAC LAND RES < ACRE,122261500,115505,8,RM-1,19138,1,177.88671875,73.3012103268367
3539,1417 S 50TH ST,MT ZION BAPTIST CHURCH   ,,PARKING LOT COMMERCIAL,885253820,690586,3,RSA-5,19143,0.5,183.0078125,68.65575286145
3540,3825 ARCHER ST,FRED VON FOSSEN,,VAC LAND RES < ACRE,131283400,19772,8,RM-1,19140,1,87.8828125,44.1857395862251
3541,9322 BUSTLETON AVE,CHAMPION DEVELOPMENT CORP,,VAC LAND RES < ACRE,562384234,754612,10,RSA-3,19115,0.67,661.0078125,129.139823164107
3542,4813 GREENE ST,FORMAN JACQUE,,VAC LAND RES < ACRE,123149700,324756,8,RSA-3,19144,0.67,261.23828125,85.977012469349
